,site,name,latitude,longitude
0,2125,Redwood City,37.48293,-122.20348
1,2320,Gilroy-9th Street,36.99958,-121.57466
2,2373,San Francisco-Arkansas Street,37.76595,-122.39902
3,2410,Vallejo-304 Tuolumne Street,38.10251,-122.238
4,2622,San Rafael,37.9723,-122.52011
5,2831,Concord-2956-A Treat Blvd,37.936,-122.0262
6,3247,Oakland-9925 International Blvd,37.74306,-122.16994
7,3490,Livermore-793 Rincon Avenue,37.6875,-121.7842
8,3661,San Jose-Jackson Street,37.348488,-121.89493600000002
9,3668,San Pablo-Rumrill Blvd,37.9604,-122.35685
10,3742,Oakland-West,37.8148,-122.28236000000001
11,3803,Oakland-Laney College                   ,37.79362,-122.26338
12,3804,Sebastopol-103 Morris Street            ,38.403765,-122.818294
13,3810,San Jose-Knox Avenue                    ,37.338202,-121.849892
14,3828,Berkeley-Aquatic Park                   ,37.86473,-122.3027
15,3837,Napa-Valley College,38.27885,-122.27502
16,3840,Pleasanton-Owens Ct                     ,37.70122,-121.90302
